File solutions/ils/wine_euclidean_solution.csv,,,,,,,,,,,,
elapsed_time,max_gen_reached,,,,,,,,,,,
88.960236,False,,,,,,,,,,,
alpha,corr_threshold,dt,elsize,k,lang,max_iter,max_no_improv,maxs,metric,mins,seed,verbose
3,0.75,1,10,3,en,300,0.2,6,e,3,-1,False
Elite,,,,,,,,,,,,
evaluation,0,1,2,3,4,5,6,7,8,9,10,11
0.483165,1,0,0,0,0,0,1,0,0,1,0,0
0.455462,1,0,0,0,0,0,1,0,0,0,1,0
0.452582,0,0,0,0,0,1,0,1,0,0,0,1
0.449925,1,0,0,0,0,0,0,0,0,1,0,1
0.448370,1,0,0,0,0,1,0,0,0,0,0,1
0.443553,1,1,0,0,0,0,1,0,0,0,0,0
0.433535,1,0,0,0,0,0,0,0,0,0,1,1
0.430198,1,0,0,0,0,0,1,0,1,0,0,0
0.428502,1,0,0,0,0,0,0,0,1,0,0,1
0.422562,1,0,0,1,0,0,0,0,0,0,0,1
Mean,Std,It_total,It_best,Number_solutions_hash,Hash_access,Hash_add,,,,,,
0.44479,0.01669,65,5,565,6292,565,,,,,,
